timestamp,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
0,9.14,8.89,3.08,0.67,0.53,0.12,0.07
100,9.60,9.48,3.26,0.67,0.53,0.12,0.07
200,9.60,9.48,3.26,0.67,0.53,0.12,0.07
300,9.60,9.48,3.26,0.67,0.53,0.12,0.07
400,9.14,8.89,3.08,0.67,0.53,0.12,0.07
500,10.54,10.71,3.62,0.67,0.53,0.12,0.07
600,10.54,10.71,3.62,0.67,0.53,0.12,0.07
700,9.60,9.48,3.26,0.67,0.53,0.12,0.07
800,9.60,9.48,3.26,0.67,0.53,0.12,0.08
900,10.07,10.09,3.44,0.68,0.53,0.12,0.09
1000,9.60,9.48,3.26,0.68,0.53,0.12,0.09
1100,9.60,9.48,3.26,0.68,0.53,0.13,0.10
1200,9.14,8.89,3.08,0.69,0.53,0.13,0.11
1300,10.07,10.09,3.44,0.69,0.53,0.13,0.12
1400,9.60,9.48,3.26,0.69,0.53,0.14,0.12
1500,9.60,9.48,3.26,0.70,0.53,0.14,0.13
1600,9.14,8.89,3.08,0.70,0.53,0.14,0.13
1700,10.54,10.71,3.62,0.70,0.53,0.15,0.14
1800,8.68,8.31,2.91,0.71,0.53,0.15,0.14
1900,9.14,8.89,3.08,0.71,0.53,0.15,0.15
2000,9.14,8.89,3.08,0.71,0.53,0.15,0.15
2100,10.54,10.71,3.62,0.71,0.53,0.16,0.16
2200,10.54,10.71,3.62,0.72,0.53,0.16,0.16
2300,10.07,10.09,3.44,0.72,0.53,0.17,0.16
2400,9.60,9.48,3.26,0.72,0.53,0.17,0.17
2500,10.07,10.09,3.44,0.73,0.53,0.17,0.17
2600,9.60,9.48,3.26,0.73,0.53,0.18,0.17
2700,10.54,10.71,3.62,0.73,0.53,0.18,0.18
2800,11.49,11.99,4.00,0.74,0.53,0.19,0.18
2900,10.07,10.09,3.44,0.74,0.53,0.19,0.18
3000,10.54,10.71,3.62,0.74,0.53,0.20,0.19
3100,10.54,10.71,3.62,0.74,0.53,0.20,0.19
3200,10.07,10.09,3.44,0.74,0.53,0.20,0.19
3300,11.01,11.34,3.81,0.74,0.53,0.21,0.19
3400,10.07,10.09,3.44,0.74,0.53,0.21,0.19
3500,11.49,11.99,4.00,0.75,0.53,0.21,0.19
3600,10.54,10.71,3.62,0.75,0.53,0.21,0.19
3700,10.54,10.71,3.62,0.75,0.53,0.21,0.19
3800,10.54,10.71,3.62,0.75,0.53,0.22,0.19
3900,10.07,10.09,3.44,0.75,0.53,0.22,0.19
4000,10.07,10.09,3.44,0.75,0.53,0.22,0.19
4100,10.54,10.71,3.62,0.75,0.53,0.22,0.19
4200,11.01,11.34,3.81,0.75,0.53,0.22,0.19
4300,11.01,11.34,3.81,0.75,0.53,0.23,0.19
4400,11.49,11.99,4.00,0.75,0.53,0.23,0.19
4500,11.01,11.34,3.81,0.75,0.53,0.23,0.19
4600,10.54,10.71,3.62,0.76,0.53,0.23,0.19
4700,10.54,10.71,3.62,0.76,0.53,0.23,0.19
4800,11.01,11.34,3.81,0.76,0.53,0.23,0.19
4900,11.01,11.34,3.81,0.76,0.53,0.24,0.20
5000,10.07,10.09,3.44,0.76,0.53,0.24,0.20
5100,11.49,11.99,4.00,0.76,0.53,0.24,0.19
5200,11.49,11.99,4.00,0.76,0.53,0.24,0.19
5300,11.49,11.99,4.00,0.76,0.53,0.24,0.20
5400,12.46,13.32,4.38,0.76,0.53,0.25,0.20
5500,11.49,11.99,4.00,0.76,0.53,0.25,0.20
5600,11.97,12.65,4.19,0.76,0.53,0.25,0.20
5700,11.97,12.65,4.19,0.76,0.53,0.25,0.20
5800,11.97,12.65,4.19,0.76,0.53,0.25,0.19
5900,11.01,11.34,3.81,0.76,0.53,0.25,0.20
6000,10.07,10.09,3.44,0.76,0.53,0.26,0.20
6100,11.49,11.99,4.00,0.76,0.53,0.26,0.20
6200,11.97,12.65,4.19,0.77,0.54,0.26,0.20
6300,11.97,12.65,4.19,0.77,0.54,0.26,0.20
6400,11.97,12.65,4.19,0.77,0.53,0.26,0.20
6500,11.49,11.99,4.00,0.77,0.54,0.26,0.20
6600,11.01,11.34,3.81,0.77,0.54,0.26,0.20
6700,11.97,12.65,4.19,0.77,0.54,0.26,0.20
6800,13.44,14.72,4.77,0.77,0.54,0.27,0.20
6900,12.94,14.01,4.58,0.77,0.54,0.27,0.20
7000,11.97,12.65,4.19,0.77,0.54,0.27,0.20
7100,11.97,12.65,4.19,0.77,0.54,0.27,0.20
7200,12.46,13.32,4.38,0.77,0.54,0.27,0.20
7300,12.46,13.32,4.38,0.77,0.54,0.27,0.20
7400,11.49,11.99,4.00,0.77,0.54,0.27,0.20
7500,11.97,12.65,4.19,0.77,0.54,0.27,0.20
7600,11.97,12.65,4.19,0.77,0.54,0.27,0.20
7700,11.97,12.65,4.19,0.77,0.54,0.27,0.20
7800,12.46,13.32,4.38,0.77,0.54,0.27,0.20
7900,12.46,13.32,4.38,0.77,0.54,0.28,0.20
8000,12.46,13.32,4.38,0.77,0.54,0.28,0.20
8100,12.46,13.32,4.38,0.77,0.54,0.28,0.20
8200,12.94,14.01,4.58,0.77,0.54,0.28,0.20
8300,12.94,14.01,4.58,0.77,0.54,0.28,0.20
8400,11.97,12.65,4.19,0.77,0.54,0.28,0.20
8500,12.94,14.01,4.58,0.77,0.54,0.28,0.20
8600,12.94,14.01,4.58,0.77,0.54,0.28,0.20
8700,12.94,14.01,4.58,0.77,0.54,0.28,0.20
8800,12.94,14.01,4.58,0.77,0.54,0.28,0.20
8900,12.94,14.01,4.58,0.77,0.54,0.28,0.20
9000,12.46,13.32,4.38,0.77,0.54,0.28,0.20
9100,12.94,14.01,4.58,0.77,0.54,0.29,0.20
9200,12.94,14.01,4.58,0.77,0.54,0.29,0.20
9300,12.94,14.01,4.58,0.77,0.54,0.29,0.20
9400,12.94,14.01,4.58,0.77,0.54,0.29,0.20
9500,13.44,14.72,4.77,0.77,0.54,0.29,0.20
9600,12.46,13.32,4.38,0.77,0.54,0.29,0.20
9700,12.46,13.32,4.38,0.77,0.54,0.29,0.20
9800,12.46,13.32,4.38,0.77,0.54,0.29,0.20
9900,13.44,14.72,4.77,0.78,0.54,0.29,0.20
10000,12.94,14.01,4.58,0.78,0.54,0.29,0.20
10100,11.01,11.34,3.81,0.78,0.54,0.29,0.20
10200,13.44,14.72,4.77,0.77,0.54,0.29,0.20
10300,13.44,14.72,4.77,0.78,0.54,0.29,0.20
10400,13.44,14.72,4.77,0.78,0.54,0.29,0.20
10500,13.93,15.43,4.97,0.78,0.54,0.30,0.21
10600,13.93,15.43,4.97,0.78,0.54,0.30,0.21
10700,13.44,14.72,4.77,0.78,0.54,0.30,0.21
10800,13.44,14.72,4.77,0.78,0.54,0.30,0.21
10900,13.44,14.72,4.77,0.78,0.54,0.30,0.21
11000,13.44,14.72,4.77,0.78,0.54,0.30,0.21
11100,13.93,15.43,4.97,0.78,0.54,0.30,0.21
11200,12.94,14.01,4.58,0.78,0.54,0.30,0.21
11300,14.44,16.16,5.18,0.78,0.54,0.30,0.21
11400,13.93,15.43,4.97,0.78,0.54,0.30,0.21
11500,13.93,15.43,4.97,0.78,0.54,0.30,0.21
11600,13.44,14.72,4.77,0.78,0.54,0.31,0.21
11700,15.96,18.43,5.80,0.78,0.54,0.31,0.21
11800,13.93,15.43,4.97,0.78,0.54,0.31,0.21
11900,14.94,16.90,5.38,0.78,0.54,0.31,0.21
12000,13.44,14.72,4.77,0.78,0.54,0.31,0.21
12100,13.44,14.72,4.77,0.78,0.54,0.31,0.21
12200,13.44,14.72,4.77,0.78,0.54,0.31,0.21
12300,13.44,14.72,4.77,0.78,0.54,0.31,0.21
12400,13.44,14.72,4.77,0.78,0.54,0.31,0.21
12500,13.44,14.72,4.77,0.78,0.54,0.31,0.22
12600,13.93,15.43,4.97,0.78,0.54,0.31,0.21
12700,14.44,16.16,5.18,0.78,0.54,0.31,0.22
12800,14.94,16.90,5.38,0.78,0.54,0.31,0.22
12900,15.45,17.66,5.59,0.78,0.54,0.32,0.22
13000,14.44,16.16,5.18,0.78,0.54,0.32,0.22
13100,14.94,16.90,5.38,0.78,0.54,0.32,0.22
13200,13.44,14.72,4.77,0.78,0.54,0.31,0.22
13300,13.93,15.43,4.97,0.79,0.54,0.32,0.22
13400,14.44,16.16,5.18,0.78,0.54,0.32,0.22
13500,13.93,15.43,4.97,0.79,0.54,0.32,0.22
13600,13.93,15.43,4.97,0.79,0.54,0.32,0.22
