timestamp,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
0,12.94,14.01,4.58,0.73,0.67,0.17,0.05
100,13.93,15.43,4.97,0.73,0.67,0.17,0.05
200,14.44,16.16,5.18,0.73,0.67,0.17,0.05
300,13.93,15.43,4.97,0.73,0.67,0.17,0.05
400,12.94,14.01,4.58,0.73,0.67,0.17,0.05
500,13.44,14.72,4.77,0.73,0.67,0.17,0.05
600,13.44,14.72,4.77,0.73,0.67,0.17,0.05
700,12.94,14.01,4.58,0.73,0.67,0.17,0.05
800,13.93,15.43,4.97,0.73,0.67,0.17,0.05
900,14.44,16.16,5.18,0.74,0.67,0.18,0.06
1000,13.44,14.72,4.77,0.74,0.67,0.18,0.06
1100,13.44,14.72,4.77,0.74,0.67,0.18,0.06
1200,13.44,14.72,4.77,0.74,0.67,0.18,0.06
1300,13.44,14.72,4.77,0.75,0.67,0.18,0.06
1400,13.44,14.72,4.77,0.75,0.67,0.18,0.06
1500,13.44,14.72,4.77,0.75,0.67,0.19,0.07
1600,14.44,16.16,5.18,0.75,0.67,0.19,0.07
1700,13.93,15.43,4.97,0.76,0.67,0.19,0.07
1800,13.93,15.43,4.97,0.76,0.67,0.20,0.07
1900,13.93,15.43,4.97,0.76,0.67,0.20,0.07
2000,13.44,14.72,4.77,0.76,0.67,0.20,0.07
2100,14.44,16.16,5.18,0.76,0.67,0.20,0.07
2200,14.44,16.16,5.18,0.77,0.67,0.21,0.08
2300,14.44,16.16,5.18,0.77,0.67,0.21,0.08
2400,15.96,18.43,5.80,0.77,0.67,0.22,0.08
2500,14.44,16.16,5.18,0.77,0.67,0.22,0.08
2600,15.45,17.66,5.59,0.77,0.67,0.22,0.09
2700,15.45,17.66,5.59,0.78,0.67,0.23,0.09
2800,14.94,16.90,5.38,0.78,0.67,0.23,0.09
2900,14.44,16.16,5.18,0.78,0.67,0.23,0.09
3000,14.94,16.90,5.38,0.78,0.67,0.23,0.09
3100,15.45,17.66,5.59,0.78,0.67,0.23,0.09
3200,14.94,16.90,5.38,0.78,0.67,0.23,0.09
3300,15.96,18.43,5.80,0.78,0.67,0.24,0.09
3400,14.94,16.90,5.38,0.78,0.67,0.24,0.09
3500,16.47,19.21,6.01,0.78,0.67,0.24,0.09
3600,15.45,17.66,5.59,0.78,0.67,0.24,0.09
3700,14.94,16.90,5.38,0.78,0.67,0.24,0.09
3800,14.44,16.16,5.18,0.78,0.67,0.24,0.09
3900,14.94,16.90,5.38,0.78,0.67,0.24,0.09
4000,15.45,17.66,5.59,0.78,0.67,0.24,0.09
4100,14.44,16.16,5.18,0.78,0.67,0.24,0.09
4200,15.96,18.43,5.80,0.78,0.67,0.25,0.09
4300,15.45,17.66,5.59,0.78,0.67,0.25,0.09
4400,14.94,16.90,5.38,0.78,0.67,0.25,0.09
4500,16.47,19.21,6.01,0.78,0.67,0.25,0.09
4600,15.96,18.43,5.80,0.78,0.67,0.25,0.09
4700,14.94,16.90,5.38,0.78,0.67,0.25,0.09
4800,15.96,18.43,5.80,0.78,0.67,0.25,0.09
4900,15.45,17.66,5.59,0.78,0.67,0.25,0.09
5000,14.94,16.90,5.38,0.78,0.67,0.25,0.09
5100,15.45,17.66,5.59,0.78,0.67,0.25,0.09
5200,15.96,18.43,5.80,0.78,0.67,0.25,0.09
5300,15.96,18.43,5.80,0.78,0.67,0.25,0.09
5400,15.45,17.66,5.59,0.78,0.67,0.25,0.09
5500,15.96,18.43,5.80,0.78,0.67,0.25,0.09
5600,15.96,18.43,5.80,0.78,0.67,0.25,0.09
5700,15.45,17.66,5.59,0.78,0.67,0.25,0.09
5800,15.96,18.43,5.80,0.78,0.67,0.25,0.09
5900,15.45,17.66,5.59,0.78,0.67,0.25,0.09
6000,15.96,18.43,5.80,0.78,0.67,0.26,0.09
6100,15.45,17.66,5.59,0.78,0.67,0.26,0.09
6200,18.04,21.63,6.66,0.78,0.67,0.26,0.09
6300,15.96,18.43,5.80,0.78,0.67,0.26,0.09
6400,16.47,19.21,6.01,0.78,0.67,0.26,0.09
6500,16.99,20.00,6.23,0.78,0.67,0.26,0.09
6600,15.96,18.43,5.80,0.78,0.67,0.26,0.09
6700,15.96,18.43,5.80,0.78,0.67,0.26,0.09
6800,16.47,19.21,6.01,0.78,0.67,0.26,0.09
6900,15.45,17.66,5.59,0.78,0.67,0.26,0.09
7000,16.47,19.21,6.01,0.78,0.67,0.26,0.09
