timestamp,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
0,46.24,74.06,19.36,0.92,0.96,0.82,0.13
100,52.38,87.18,22.30,0.92,0.96,0.82,0.13
200,44.90,71.28,18.73,0.92,0.96,0.82,0.13
300,45.57,72.66,19.05,0.92,0.96,0.82,0.13
400,46.24,74.06,19.36,0.92,0.96,0.82,0.13
500,46.24,74.06,19.36,0.92,0.96,0.82,0.13
600,46.24,74.06,19.36,0.92,0.96,0.82,0.13
700,46.24,74.06,19.36,0.92,0.96,0.82,0.13
800,45.57,72.66,19.05,0.92,0.96,0.82,0.13
900,46.24,74.06,19.36,0.92,0.96,0.82,0.13
1000,46.24,74.06,19.36,0.92,0.96,0.82,0.14
1100,46.24,74.06,19.36,0.92,0.96,0.82,0.14
1200,46.91,75.47,19.68,0.92,0.96,0.82,0.14
1300,45.57,72.66,19.05,0.92,0.96,0.82,0.14
1400,46.24,74.06,19.36,0.92,0.96,0.82,0.14
1500,45.57,72.66,19.05,0.92,0.96,0.82,0.14
1600,45.57,72.66,19.05,0.92,0.96,0.82,0.14
1700,46.24,74.06,19.36,0.92,0.96,0.82,0.14
1800,46.24,74.06,19.36,0.92,0.96,0.82,0.14
1900,45.57,72.66,19.05,0.92,0.96,0.82,0.14
2000,46.24,74.06,19.36,0.92,0.96,0.82,0.14
2100,46.24,74.06,19.36,0.92,0.96,0.82,0.14
2200,46.24,74.06,19.36,0.92,0.96,0.83,0.14
2300,48.26,78.32,20.32,0.92,0.96,0.83,0.14
2400,46.91,75.47,19.68,0.92,0.96,0.83,0.14
2500,47.58,76.89,20.00,0.92,0.96,0.83,0.14
2600,47.58,76.89,20.00,0.93,0.96,0.83,0.14
2700,46.24,74.06,19.36,0.92,0.96,0.83,0.14
2800,46.24,74.06,19.36,0.93,0.96,0.83,0.14
2900,47.58,76.89,20.00,0.92,0.96,0.83,0.14
3000,46.91,75.47,19.68,0.93,0.96,0.83,0.14
3100,46.91,75.47,19.68,0.92,0.96,0.83,0.14
3200,47.58,76.89,20.00,0.92,0.96,0.83,0.14
3300,48.26,78.32,20.32,0.92,0.96,0.83,0.14
3400,47.58,76.89,20.00,0.93,0.96,0.83,0.14
3500,46.91,75.47,19.68,0.93,0.96,0.83,0.14
3600,47.58,76.89,20.00,0.93,0.96,0.83,0.14
3700,47.58,76.89,20.00,0.93,0.96,0.83,0.14
3800,47.58,76.89,20.00,0.93,0.96,0.83,0.14
3900,46.91,75.47,19.68,0.93,0.96,0.83,0.14
4000,47.58,76.89,20.00,0.93,0.96,0.83,0.14
4100,47.58,76.89,20.00,0.93,0.96,0.83,0.14
4200,48.94,79.77,20.65,0.93,0.96,0.83,0.14
4300,46.91,75.47,19.68,0.93,0.96,0.83,0.14
4400,47.58,76.89,20.00,0.93,0.96,0.83,0.14
4500,47.58,76.89,20.00,0.93,0.96,0.83,0.14
4600,47.58,76.89,20.00,0.93,0.96,0.83,0.14
4700,48.26,78.32,20.32,0.93,0.96,0.83,0.14
4800,47.58,76.89,20.00,0.93,0.96,0.83,0.14
4900,47.58,76.89,20.00,0.93,0.96,0.83,0.14
5000,48.26,78.32,20.32,0.93,0.96,0.83,0.14
5100,50.30,82.69,21.30,0.93,0.96,0.83,0.14
5200,49.62,81.22,20.98,0.93,0.96,0.83,0.15
5300,48.94,79.77,20.65,0.93,0.96,0.83,0.15
5400,48.94,79.77,20.65,0.93,0.96,0.83,0.15
5500,48.26,78.32,20.32,0.93,0.96,0.83,0.15
5600,48.26,78.32,20.32,0.93,0.96,0.83,0.15
5700,48.26,78.32,20.32,0.93,0.96,0.83,0.15
5800,47.58,76.89,20.00,0.93,0.96,0.83,0.15
5900,48.26,78.32,20.32,0.93,0.96,0.83,0.14
6000,47.58,76.89,20.00,0.93,0.96,0.83,0.15
6100,49.62,81.22,20.98,0.93,0.96,0.83,0.15
6200,48.94,79.77,20.65,0.93,0.96,0.83,0.15
6300,48.94,79.77,20.65,0.93,0.96,0.83,0.15
6400,48.26,78.32,20.32,0.93,0.96,0.83,0.15
6500,48.26,78.32,20.32,0.93,0.96,0.83,0.15
6600,48.94,79.77,20.65,0.93,0.96,0.83,0.15
6700,48.26,78.32,20.32,0.93,0.96,0.83,0.15
6800,48.26,78.32,20.32,0.93,0.96,0.83,0.15
6900,48.94,79.77,20.65,0.93,0.96,0.83,0.15
7000,47.58,76.89,20.00,0.93,0.96,0.83,0.15
7100,48.26,78.32,20.32,0.93,0.96,0.83,0.15
7200,48.94,79.77,20.65,0.93,0.96,0.83,0.15
7300,48.26,78.32,20.32,0.93,0.96,0.83,0.15
7400,48.94,79.77,20.65,0.93,0.96,0.83,0.15
7500,48.94,79.77,20.65,0.93,0.96,0.83,0.15
7600,48.94,79.77,20.65,0.93,0.96,0.83,0.15
7700,48.26,78.32,20.32,0.93,0.96,0.83,0.15
7800,48.94,79.77,20.65,0.93,0.96,0.83,0.15
7900,48.94,79.77,20.65,0.93,0.96,0.83,0.15
8000,48.94,79.77,20.65,0.93,0.96,0.83,0.15
8100,48.94,79.77,20.65,0.93,0.96,0.83,0.15
8200,48.94,79.77,20.65,0.93,0.96,0.84,0.15
8300,48.94,79.77,20.65,0.93,0.96,0.84,0.15
8400,48.94,79.77,20.65,0.93,0.96,0.84,0.15
8500,48.94,79.77,20.65,0.93,0.96,0.83,0.15
8600,49.62,81.22,20.98,0.93,0.96,0.84,0.15
8700,49.62,81.22,20.98,0.93,0.96,0.84,0.15
8800,48.94,79.77,20.65,0.93,0.96,0.83,0.15
8900,49.62,81.22,20.98,0.93,0.96,0.84,0.15
9000,49.62,81.22,20.98,0.93,0.96,0.84,0.15
9100,49.62,81.22,20.98,0.93,0.96,0.83,0.15
9200,50.30,82.69,21.30,0.93,0.96,0.84,0.15
9300,48.94,79.77,20.65,0.93,0.96,0.84,0.15
9400,49.62,81.22,20.98,0.93,0.96,0.84,0.15
9500,49.62,81.22,20.98,0.93,0.96,0.84,0.15
9600,50.30,82.69,21.30,0.93,0.96,0.84,0.15
9700,48.94,79.77,20.65,0.93,0.96,0.84,0.15
9800,48.94,79.77,20.65,0.93,0.96,0.84,0.15
9900,48.94,79.77,20.65,0.93,0.96,0.84,0.15
10000,48.94,79.77,20.65,0.93,0.96,0.84,0.15
10100,48.94,79.77,20.65,0.93,0.96,0.84,0.15
10200,49.62,81.22,20.98,0.93,0.96,0.84,0.15
10300,48.94,79.77,20.65,0.93,0.96,0.84,0.15
10400,49.62,81.22,20.98,0.93,0.96,0.84,0.15
10500,50.30,82.69,21.30,0.93,0.96,0.84,0.15
10600,49.62,81.22,20.98,0.93,0.96,0.84,0.15
10700,49.62,81.22,20.98,0.93,0.96,0.84,0.15
10800,50.30,82.69,21.30,0.93,0.96,0.84,0.15
10900,50.30,82.69,21.30,0.93,0.96,0.84,0.15
11000,50.30,82.69,21.30,0.93,0.96,0.84,0.15
11100,49.62,81.22,20.98,0.93,0.96,0.84,0.15
11200,49.62,81.22,20.98,0.93,0.96,0.84,0.15
11300,50.30,82.69,21.30,0.93,0.96,0.84,0.15
11400,50.99,84.18,21.64,0.93,0.96,0.84,0.15
11500,50.30,82.69,21.30,0.93,0.96,0.84,0.15
11600,49.62,81.22,20.98,0.93,0.96,0.84,0.15
11700,50.99,84.18,21.64,0.93,0.96,0.84,0.15
11800,50.30,82.69,21.30,0.93,0.96,0.84,0.15
11900,50.99,84.18,21.64,0.93,0.96,0.84,0.15
12000,49.62,81.22,20.98,0.93,0.96,0.84,0.15
12100,49.62,81.22,20.98,0.93,0.96,0.84,0.15
12200,49.62,81.22,20.98,0.93,0.96,0.84,0.15
12300,49.62,81.22,20.98,0.93,0.96,0.84,0.15
12400,49.62,81.22,20.98,0.93,0.96,0.84,0.15
12500,50.30,82.69,21.30,0.93,0.96,0.84,0.15
12600,49.62,81.22,20.98,0.93,0.96,0.84,0.15
12700,49.62,81.22,20.98,0.93,0.96,0.84,0.15
12800,50.30,82.69,21.30,0.93,0.96,0.84,0.15
12900,50.30,82.69,21.30,0.93,0.96,0.84,0.15
13000,50.30,82.69,21.30,0.93,0.96,0.84,0.15
13100,49.62,81.22,20.98,0.93,0.96,0.84,0.15
13200,49.62,81.22,20.98,0.93,0.96,0.84,0.15
13300,50.30,82.69,21.30,0.93,0.96,0.84,0.15
13400,51.68,85.67,21.97,0.93,0.96,0.84,0.15
13500,50.99,84.18,21.64,0.93,0.96,0.84,0.15
13600,49.62,81.22,20.98,0.93,0.96,0.84,0.15
13700,51.68,85.67,21.97,0.93,0.96,0.84,0.15
13800,50.30,82.69,21.30,0.93,0.96,0.84,0.15
13900,50.30,82.69,21.30,0.93,0.96,0.84,0.15
14000,50.30,82.69,21.30,0.93,0.96,0.84,0.15
14100,50.30,82.69,21.30,0.93,0.96,0.84,0.15
14200,50.30,82.69,21.30,0.93,0.96,0.84,0.15
14300,50.99,84.18,21.64,0.93,0.96,0.84,0.15
14400,50.30,82.69,21.30,0.93,0.96,0.84,0.15
14500,51.68,85.67,21.97,0.93,0.96,0.84,0.15
14600,50.30,82.69,21.30,0.93,0.96,0.84,0.15
14700,51.68,85.67,21.97,0.93,0.96,0.84,0.15
14800,50.99,84.18,21.64,0.93,0.96,0.84,0.15
14900,52.38,87.18,22.30,0.93,0.96,0.84,0.15
15000,50.99,84.18,21.64,0.93,0.96,0.84,0.15
15100,50.30,82.69,21.30,0.93,0.96,0.84,0.15
15200,51.68,85.67,21.97,0.93,0.96,0.84,0.15
15300,50.30,82.69,21.30,0.93,0.96,0.84,0.15
15400,50.30,82.69,21.30,0.93,0.96,0.84,0.15
15500,50.30,82.69,21.30,0.93,0.96,0.84,0.14
15600,50.30,82.69,21.30,0.93,0.96,0.84,0.14
15700,51.68,85.67,21.97,0.93,0.96,0.84,0.14
15800,51.68,85.67,21.97,0.93,0.96,0.84,0.14
15900,50.30,82.69,21.30,0.93,0.96,0.84,0.14
16000,50.30,82.69,21.30,0.93,0.96,0.84,0.14
16100,51.68,85.67,21.97,0.92,0.96,0.84,0.14
16200,50.30,82.69,21.30,0.92,0.96,0.84,0.14
16300,50.30,82.69,21.30,0.92,0.96,0.84,0.14
16400,50.30,82.69,21.30,0.92,0.96,0.84,0.14
16500,52.38,87.18,22.30,0.92,0.96,0.84,0.14
16600,50.30,82.69,21.30,0.92,0.96,0.84,0.14
16700,48.94,79.77,20.65,0.92,0.96,0.84,0.14
16800,50.30,82.69,21.30,0.92,0.96,0.84,0.14
16900,50.99,84.18,21.64,0.92,0.96,0.84,0.14
17000,50.30,82.69,21.30,0.92,0.96,0.84,0.14
17100,50.30,82.69,21.30,0.92,0.96,0.83,0.14
17200,49.62,81.22,20.98,0.92,0.96,0.84,0.14
17300,49.62,81.22,20.98,0.92,0.96,0.83,0.14
17400,49.62,81.22,20.98,0.92,0.96,0.83,0.14
17500,49.62,81.22,20.98,0.92,0.96,0.83,0.14
17600,49.62,81.22,20.98,0.92,0.96,0.83,0.14
17700,49.62,81.22,20.98,0.92,0.96,0.83,0.14
17800,49.62,81.22,20.98,0.92,0.96,0.83,0.14
17900,49.62,81.22,20.98,0.92,0.96,0.83,0.13
18000,50.30,82.69,21.30,0.92,0.96,0.83,0.13
18100,49.62,81.22,20.98,0.92,0.96,0.83,0.13
18200,48.94,79.77,20.65,0.92,0.96,0.83,0.13
18300,50.30,82.69,21.30,0.92,0.96,0.83,0.13
18400,48.94,79.77,20.65,0.92,0.96,0.83,0.13
18500,48.94,79.77,20.65,0.92,0.96,0.83,0.13
18600,49.62,81.22,20.98,0.92,0.96,0.83,0.13
18700,48.94,79.77,20.65,0.91,0.96,0.83,0.13
18800,48.94,79.77,20.65,0.91,0.96,0.83,0.13
18900,48.94,79.77,20.65,0.91,0.96,0.83,0.13
19000,48.94,79.77,20.65,0.91,0.96,0.83,0.13
19100,48.94,79.77,20.65,0.91,0.96,0.83,0.13
19200,48.94,79.77,20.65,0.91,0.96,0.83,0.13
19300,48.94,79.77,20.65,0.91,0.96,0.83,0.13
19400,48.26,78.32,20.32,0.91,0.96,0.83,0.13
19500,48.94,79.77,20.65,0.91,0.96,0.83,0.13
19600,48.94,79.77,20.65,0.91,0.96,0.83,0.13
19700,49.62,81.22,20.98,0.91,0.96,0.82,0.13
19800,48.26,78.32,20.32,0.91,0.96,0.83,0.13
19900,48.26,78.32,20.32,0.91,0.96,0.83,0.13
20000,48.26,78.32,20.32,0.91,0.96,0.83,0.12
20100,48.26,78.32,20.32,0.91,0.96,0.82,0.12
20200,48.94,79.77,20.65,0.91,0.96,0.82,0.12
20300,48.26,78.32,20.32,0.91,0.96,0.82,0.12
20400,48.26,78.32,20.32,0.91,0.96,0.82,0.12
20500,48.26,78.32,20.32,0.91,0.96,0.82,0.12
20600,49.62,81.22,20.98,0.91,0.96,0.82,0.12
20700,48.26,78.32,20.32,0.91,0.96,0.82,0.12
20800,48.26,78.32,20.32,0.91,0.96,0.82,0.12
20900,48.26,78.32,20.32,0.91,0.96,0.82,0.12
21000,48.26,78.32,20.32,0.91,0.96,0.82,0.12
21100,48.94,79.77,20.65,0.91,0.96,0.82,0.12
21200,48.94,79.77,20.65,0.91,0.96,0.82,0.12
21300,48.26,78.32,20.32,0.91,0.96,0.82,0.12
21400,48.94,79.77,20.65,0.91,0.96,0.82,0.12
21500,48.26,78.32,20.32,0.91,0.96,0.82,0.12
21600,48.94,79.77,20.65,0.91,0.96,0.82,0.12
21700,48.26,78.32,20.32,0.91,0.96,0.82,0.12
