timestamp,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
0,33.43,48.46,13.41,0.92,0.69,0.91,0.22
100,34.04,49.62,13.69,0.92,0.69,0.91,0.23
200,32.82,47.30,13.13,0.92,0.69,0.92,0.23
300,34.04,49.62,13.69,0.92,0.69,0.92,0.23
400,32.82,47.30,13.13,0.92,0.69,0.92,0.23
500,33.43,48.46,13.41,0.92,0.69,0.92,0.23
600,34.66,50.80,13.97,0.92,0.69,0.91,0.23
700,32.82,47.30,13.13,0.92,0.69,0.92,0.23
800,32.82,47.30,13.13,0.92,0.69,0.92,0.23
900,32.82,47.30,13.13,0.93,0.69,0.92,0.24
1000,32.82,47.30,13.13,0.93,0.69,0.92,0.24
1100,32.82,47.30,13.13,0.93,0.69,0.92,0.25
1200,32.82,47.30,13.13,0.93,0.69,0.92,0.26
1300,34.04,49.62,13.69,0.93,0.69,0.92,0.27
1400,33.43,48.46,13.41,0.93,0.69,0.92,0.27
1500,33.43,48.46,13.41,0.94,0.69,0.93,0.28
1600,33.43,48.46,13.41,0.94,0.69,0.93,0.29
1700,33.43,48.46,13.41,0.94,0.69,0.93,0.30
1800,34.04,49.62,13.69,0.94,0.69,0.93,0.30
1900,34.04,49.62,13.69,0.94,0.69,0.93,0.31
2000,34.04,49.62,13.69,0.94,0.69,0.94,0.32
2100,34.66,50.80,13.97,0.94,0.69,0.94,0.33
2200,35.27,51.99,14.25,0.95,0.69,0.94,0.34
2300,34.66,50.80,13.97,0.95,0.69,0.94,0.35
2400,35.90,53.19,14.53,0.95,0.69,0.95,0.36
2500,39.05,59.38,15.99,0.95,0.69,0.95,0.39
2600,40.33,61.94,16.58,0.96,0.69,0.96,0.42
2700,36.52,54.40,14.82,0.96,0.69,0.96,0.42
2800,37.15,55.63,15.11,0.96,0.69,0.96,0.43
2900,37.15,55.63,15.11,0.96,0.69,0.96,0.43
3000,37.15,55.63,15.11,0.96,0.69,0.96,0.44
3100,37.78,56.87,15.40,0.96,0.69,0.96,0.44
3200,37.78,56.87,15.40,0.96,0.69,0.96,0.45
3300,37.78,56.87,15.40,0.96,0.69,0.97,0.45
3400,38.41,58.12,15.69,0.96,0.69,0.97,0.45
3500,38.41,58.12,15.69,0.96,0.69,0.97,0.46
3600,38.41,58.12,15.69,0.96,0.69,0.97,0.46
3700,39.05,59.38,15.99,0.96,0.69,0.97,0.46
3800,39.05,59.38,15.99,0.96,0.69,0.97,0.47
3900,39.05,59.38,15.99,0.97,0.69,0.97,0.47
4000,39.69,60.65,16.29,0.96,0.69,0.97,0.47
4100,39.69,60.65,16.29,0.97,0.69,0.97,0.47
4200,40.33,61.94,16.58,0.97,0.69,0.97,0.48
4300,40.33,61.94,16.58,0.97,0.69,0.97,0.48
4400,40.33,61.94,16.58,0.97,0.69,0.97,0.48
4500,40.97,63.23,16.89,0.97,0.69,0.97,0.49
4600,41.62,64.55,17.19,0.97,0.69,0.97,0.49
4700,41.62,64.55,17.19,0.97,0.69,0.97,0.49
4800,42.92,67.20,17.80,0.97,0.69,0.97,0.49
4900,41.62,64.55,17.19,0.97,0.69,0.97,0.50
5000,43.58,68.55,18.11,0.97,0.70,0.97,0.50
5100,42.27,65.87,17.49,0.97,0.70,0.97,0.51
5200,42.27,65.87,17.49,0.97,0.70,0.98,0.51
5300,42.92,67.20,17.80,0.97,0.70,0.98,0.51
5400,42.92,67.20,17.80,0.97,0.70,0.97,0.51
5500,43.58,68.55,18.11,0.97,0.70,0.98,0.51
5600,43.58,68.55,18.11,0.97,0.70,0.98,0.52
5700,44.24,69.91,18.42,0.97,0.70,0.98,0.52
5800,43.58,68.55,18.11,0.97,0.70,0.98,0.52
5900,44.24,69.91,18.42,0.97,0.70,0.98,0.52
6000,45.57,72.66,19.05,0.97,0.70,0.98,0.53
6100,44.24,69.91,18.42,0.97,0.70,0.98,0.53
6200,44.90,71.28,18.73,0.97,0.70,0.98,0.53
6300,44.90,71.28,18.73,0.97,0.70,0.98,0.53
6400,44.90,71.28,18.73,0.97,0.70,0.98,0.53
6500,45.57,72.66,19.05,0.97,0.70,0.98,0.54
6600,45.57,72.66,19.05,0.97,0.70,0.98,0.54
6700,45.57,72.66,19.05,0.97,0.70,0.98,0.54
6800,46.24,74.06,19.36,0.97,0.70,0.98,0.54
6900,46.24,74.06,19.36,0.97,0.70,0.98,0.54
7000,46.24,74.06,19.36,0.98,0.70,0.98,0.54
7100,46.24,74.06,19.36,0.97,0.70,0.98,0.55
7200,46.91,75.47,19.68,0.98,0.70,0.98,0.55
7300,46.91,75.47,19.68,0.97,0.70,0.98,0.55
7400,55.18,93.33,23.66,0.98,0.71,0.98,0.56
7500,48.94,79.77,20.65,0.98,0.71,0.98,0.56
7600,48.94,79.77,20.65,0.98,0.70,0.98,0.56
7700,48.94,79.77,20.65,0.98,0.71,0.98,0.56
7800,49.62,81.22,20.98,0.98,0.71,0.98,0.57
7900,49.62,81.22,20.98,0.98,0.71,0.98,0.57
8000,49.62,81.22,20.98,0.98,0.71,0.98,0.57
8100,50.30,82.69,21.30,0.98,0.71,0.98,0.57
8200,50.30,82.69,21.30,0.97,0.71,0.98,0.57
8300,49.62,81.22,20.98,0.98,0.71,0.98,0.57
8400,50.30,82.69,21.30,0.98,0.71,0.98,0.57
8500,50.30,82.69,21.30,0.97,0.71,0.98,0.58
8600,50.30,82.69,21.30,0.98,0.71,0.98,0.58
8700,50.99,84.18,21.64,0.98,0.71,0.98,0.58
8800,50.99,84.18,21.64,0.98,0.71,0.98,0.58
8900,50.99,84.18,21.64,0.98,0.71,0.98,0.58
9000,50.30,82.69,21.30,0.98,0.71,0.98,0.58
9100,52.38,87.18,22.30,0.98,0.71,0.98,0.58
9200,52.38,87.18,22.30,0.98,0.71,0.98,0.58
9300,51.68,85.67,21.97,0.98,0.71,0.98,0.58
9400,52.38,87.18,22.30,0.98,0.71,0.98,0.58
9500,52.38,87.18,22.30,0.98,0.71,0.98,0.59
9600,52.38,87.18,22.30,0.98,0.71,0.98,0.59
9700,52.38,87.18,22.30,0.98,0.71,0.98,0.59
9800,53.07,88.70,22.64,0.98,0.71,0.99,0.59
9900,54.48,91.78,23.32,0.98,0.71,0.98,0.59
10000,53.77,90.23,22.98,0.98,0.71,0.98,0.60
10100,52.38,87.18,22.30,0.98,0.71,0.98,0.60
10200,53.77,90.23,22.98,0.98,0.71,0.98,0.60
10300,53.77,90.23,22.98,0.98,0.71,0.98,0.60
10400,54.48,91.78,23.32,0.98,0.71,0.98,0.60
10500,53.07,88.70,22.64,0.98,0.71,0.98,0.60
10600,53.77,90.23,22.98,0.98,0.71,0.98,0.60
10700,53.77,90.23,22.98,0.97,0.71,0.98,0.60
10800,53.77,90.23,22.98,0.98,0.71,0.98,0.60
10900,54.48,91.78,23.32,0.98,0.71,0.99,0.61
11000,54.48,91.78,23.32,0.98,0.71,0.98,0.61
11100,55.18,93.33,23.66,0.98,0.72,0.99,0.61
11200,54.48,91.78,23.32,0.98,0.72,0.98,0.61
11300,54.48,91.78,23.32,0.98,0.72,0.98,0.61
11400,54.48,91.78,23.32,0.98,0.72,0.99,0.61
11500,55.89,94.90,24.01,0.98,0.72,0.99,0.62
11600,55.18,93.33,23.66,0.98,0.72,0.99,0.62
11700,55.89,94.90,24.01,0.98,0.72,0.99,0.62
11800,55.18,93.33,23.66,0.98,0.72,0.99,0.62
11900,67.62,121.75,29.79,0.98,0.73,0.99,0.68
12000,60.20,104.59,26.11,0.98,0.73,0.99,0.68
12100,60.20,104.59,26.11,0.98,0.73,0.99,0.68
12200,60.20,104.59,26.11,0.98,0.73,0.99,0.68
